Date,Target
2017-04-22,2444.0
2017-04-23,2514.0
2017-04-24,4889.0
2017-04-25,3352.0
2017-04-26,4051.0
2017-04-27,5168.0
2017-04-28,5238.0
2017-04-29,2514.0
2017-04-30,1746.0
2017-05-01,5587.0
2017-05-02,6285.0
2017-05-03,5936.0
2017-05-04,5168.0
2017-05-05,3701.0
2017-05-06,2793.0
2017-05-07,2025.0
2017-05-08,4819.0
2017-05-09,5028.0
2017-05-10,4819.0
2017-05-11,4958.0
2017-05-12,4539.0
2017-05-13,2374.0
2017-05-14,2863.0
2017-05-15,5238.0
2017-05-16,5587.0
2017-05-17,4470.0
2017-05-18,4889.0
2017-05-19,4260.0
2017-05-20,2025.0
2017-05-21,2444.0
2017-05-22,4889.0
2017-05-23,5727.0
2017-05-24,3631.0
2017-05-25,5447.0
2017-05-26,3911.0
2017-05-27,2514.0
2017-05-28,1467.0
2017-05-29,2724.0
2017-05-30,4819.0
2017-05-31,4120.0
2017-06-01,6215.0
2017-06-02,4609.0
2017-06-03,2584.0
2017-06-04,2584.0
2017-06-05,4819.0
2017-06-06,4330.0
2017-06-07,4400.0
2017-06-08,4470.0
2017-06-09,4609.0
2017-06-10,2025.0
2017-06-11,1257.0
2017-06-12,4609.0
2017-06-13,3073.0
2017-06-14,3981.0
2017-06-15,4120.0
2017-06-16,4400.0
2017-06-17,2514.0
2017-06-18,2025.0
2017-06-19,4609.0
2017-06-20,3771.0
2017-06-21,4120.0
2017-06-22,4749.0
2017-06-23,3911.0
2017-06-24,2165.0
2017-06-25,2235.0
2017-06-26,5238.0
2017-06-27,4190.0
2017-06-28,4400.0
2017-06-29,5028.0
2017-06-30,5308.0
2017-07-01,3282.0
2017-07-02,2235.0
2017-07-03,3911.0
2017-07-04,2793.0
2017-07-05,5727.0
2017-07-06,5028.0
2017-07-07,4470.0
2017-07-08,3143.0
2017-07-09,1886.0
2017-07-10,4470.0
2017-07-11,5028.0
2017-07-12,4400.0
2017-07-13,4470.0
2017-07-14,6146.0
2017-07-15,2584.0
2017-07-16,2165.0
2017-07-17,5377.0
2017-07-18,5657.0
2017-07-19,5727.0
2017-07-20,5517.0
2017-07-21,5168.0
2017-07-22,2933.0
2017-07-23,2793.0
2017-07-24,7193.0
2017-07-25,6146.0
2017-07-26,5587.0
2017-07-27,5447.0
2017-07-28,4539.0
2017-07-29,3631.0
2017-07-30,2165.0
2017-07-31,6215.0
2017-08-01,5936.0
2017-08-02,6006.0
2017-08-03,6285.0
2017-08-04,4958.0
2017-08-05,3073.0
2017-08-06,2305.0
2017-08-07,7961.0
2017-08-08,4958.0
2017-08-09,5727.0
2017-08-10,6146.0
2017-08-11,5238.0
2017-08-12,3492.0
2017-08-13,2165.0
2017-08-14,5796.0
2017-08-15,6076.0
2017-08-16,6425.0
2017-08-17,4889.0
2017-08-18,4819.0
2017-08-19,3562.0
2017-08-20,2793.0
2017-08-21,6285.0
2017-08-22,6285.0
2017-08-23,5098.0
2017-08-24,4819.0
2017-08-25,3631.0
2017-08-26,1536.0
2017-08-27,1536.0
2017-08-28,3282.0
2017-08-29,4609.0
2017-08-30,6704.0
2017-08-31,6146.0
2017-09-01,6565.0
2017-09-02,5796.0
2017-09-03,3911.0
2017-09-04,4330.0
2017-09-05,7472.0
2017-09-06,6565.0
2017-09-07,6425.0
2017-09-08,4609.0
2017-09-09,3631.0
2017-09-10,3352.0
2017-09-11,6425.0
2017-09-12,6704.0
2017-09-13,6844.0
2017-09-14,6704.0
2017-09-15,5308.0
